time	V_out	I_out
0.023100	-1172172183204274196958227895398428286974566118457344.000000	3805217600504270116070799031668585032267167956992.000000
0.023200	-2453330926311112002691466529544940540555193059639296.000000	3741453219143868387258321449025075550303312412672.000000
0.023300	-4255021566262385572014763662801281380894408886452224.000000	968755384627303612467886352794829493748149256192.000000
0.023400	-6229771257335736326669826085012858041594294130704384.000000	-7290400763027272886832056797840599451565937393664.000000
0.023500	-7306675788928276930030897348870524931181188726390784.000000	-24825591359368776163716844361461066223268407541760.000000
0.023600	-5179125834446569749898352985664649257890165530034176.000000	-55563827185908177551348102700363162600596886781952.000000
0.023700	4238702398264890107008729139929997238834477540573184.000000	-101081064665531129878126337075799437657733140054016.000000
0.023800	27063383536194266093087290648611160340181308185509888.000000	-155426100085102950944295278526239894388607327141888.000000
0.023900	70720230860671735770235307802717683412571356691169280.000000	-196185363604554285577634288820050849701710945845248.000000
0.024000	141058944470233771923166693712967109847752784543219712.000000	-171467401564334696529305806905312399068520215740416.000000
0.024100	235555879992067756390270899487442233131910466312863744.000000	15238273437609854300228325747066435725408048513024.000000
0.024200	330529523022593985418693047290478524946129676086018048.000000	515503610986257535152742586237777923742611751829504.000000
0.024300	360853571993204531815989404640654034053484047291645952.000000	1526296540816406797089899993477904336011125462138880.000000
0.024400	193230780986955269193240983690413122549626454979641344.000000	3232010153812503426657783329365344716253248641564672.000000
0.024500	-399591842312752009212133447014356761062855672428756992.000000	5654580627001476751134244023330233508751527385235456.000000
0.024600	-1744126073901707921529412860940468475769500968889090048.000000	8356210514059170333598055948297407029198012519809024.000000
0.024700	-4211722461789745933393008332955002902170196170778869760.000000	9945246098050925814656534406971186188825916585541632.000000
0.024800	-8038533091296084116979310773699749019321173769973661696.000000	7386603113937458340898242602795664229171273266102272.000000
0.024900	-12926797528073092205525576045362217133758567176162246656.000000	-4743713880051808275433644223485384945970854894764032.000000
0.025000	-17324689439759437630855414740597051499553210568697446400.000000	-34639363238569806247841659961762971978420997394006016.000000
0.025100	-17326776031623844143379842721900749440871552235731943424.000000	-92382068262174806971806007121360534946700611941302272.000000
0.025200	-5300001823514017832848706489223650567732992407771283456.000000	-186218310991917131814635504434256049747359433274425344.000000
0.025300	31287145540004563920238729633547195765719068197668257792.000000	-313646425827519598135871725106060215933435579545419776.000000
0.025400	109666461562406445436423893350035534683338131473334009856.000000	-444493888761376630949417001990182928499304581814026240.000000
0.025500	247963714038696065801122906994043070072270241939396231168.000000	-493830774315557129840555152054198714071633605559320576.000000
0.025600	454163339537227389073519694645943443169856971277617594368.000000	-285883937348830140773658383523495672722679502066417664.000000
0.025700	702957217958745292341105138933341648925215398516173570048.000000	481612225844041090459879386891251150459576574824939520.000000
0.025800	895520178390713782822845192701432730722946194885050368000.000000	2247114071077288436454308932500834852453976031228854272.000000
0.025900	800504821245743426177147287151010779096086209287531003904.000000	5517227403814580671715254436540558958400197098815356928.000000
0.026000	-15373879029900750203257119290138833698011666483431604224.000000	10633212908793996547517888409725601683687377222496157696.000000
0.026100	-2237032351291109883268592528054362830657828330300459974656.000000	17246942062144625188234987390251739756791804455301414912.000000
0.026200	-6762242093942537019842503235131753219235275381345215315968.000000	23365796785795211001485921106587401118916086582480994304.000000
0.026300	-14447717296792604637345639655230672204787325723895264182272.000000	23881415414536926385068766660371288860988778528706134016.000000
0.026400	-25442894381818060448238700208204947743590153160370446925824.000000	8707889013637916373913101747050748609395230383779348480.000000
0.026500	-37858243918750166577643142946514307985844382259786624794624.000000	-38855710314959351352694246389216209675630091635311771648.000000
0.026600	-45537572569279513558411959738989960705251223302111110365184.000000	-142011870759205225862153101459579660845926522655197888512.000000
0.026700	-34925754731644882576754555050005671981491743109983726731264.000000	-325639232836374282474540715183767835443212364349704241152.000000
0.026800	18363354304414424996833112055257405009512383963633935187968.000000	-601925742383368786854099283977616844746326406178719924224.000000
0.026900	151415948261122337671158152768381074374888535985918106927104.000000	-939872343238777800905166764218523501269084900456547745792.000000
0.027000	410312664878001994321330775257352248532645328155453224386560.000000	-1211842665552343257875099626798098362632776888513426620416.000000
0.027100	833743497233908249917824276115319546587591825501037355073536.000000	-1114426279693386987062978767054133762605901260599234396160.000000
0.027200	1413308762684160543969661071635872379754597363327409384849408.000000	-73977085264445794155546665770300237231657043436031180800.000000
0.027300	2017599306565989215944425280212902261332332700502202188300288.000000	2824180492037278988494283855248425494316948844033278476288.000000
0.027400	2269894748460717599487666154417047241294535326474371696951296.000000	8792625188239728456592931043116277337366194635812647206912.000000
0.027500	1383887312769407293504126674431774093823995855660354208006144.000000	19016963323516058282349990675866990936576308945386611933184.000000
0.027600	-2001360332642520472275430537184714312982855636798397143318528.000000	33785663968983215816456845598939320438984577792011673796608.000000
0.027700	-9873940464781746581400879902045311967961658277137956506435584.000000	50732203256592506217637820070313428313837716451166269734912.000000
0.027800	-24557291336897585122970809890875294727543780073779598343536640.000000	61869120990334192441028617255070458665424839004313022889984.000000
0.027900	-47678896266924577582139713112832125508009211157916186908295168.000000	49376297990756415428844191532133078432412554557279547949056.000000
0.028000	-77831831792884103505594774633967127386848775514284714954326016.000000	-19094549654447010662415747235818285062970649046161438015488.000000
0.028100	-106283730528576077824674573408536836472474942250894617930104832.000000	-193178292756985079932714020611010091830310848652086188441600.000000
0.028200	-110323140591110897426979939633499902388836439403822560736968704.000000	-535339164331301194297997613158090868302675115343631901261824.000000
0.028300	-44762123268386131786722557608201826824099551738932212243890176.000000	-1099766018269846061319978530454015432537741721245103631106048.000000
0.028400	165704912509337722132152457476195122075819367294244912302653440.000000	-1880374203164305230472034805095117247128967584063700294696960.000000
0.028500	626493251714125604739644453871789012226941336157001398731407360.000000	-2710389512414212007239608345559331610617615116725313863680000.000000
0.028600	1452196588347972074682427269719837981330449760143723331474948096.000000	-3099188683268669528535714194581573416495716526704682348838912.000000
0.028700	2702942809173934030551941997310370518471454390956157821553475584.000000	-2010772051253313806541501463155396149400610582437143271964672.000000
0.028800	4248079823674182954520071644611460628785313431515005745335631872.000000	2363626269159063203321523242381066333097081461613581045858304.000000
0.028900	5525690944130291252997349252603216383765559013881269711538225152.000000	12691058986704703469237730238892836128377985675123241926000640.000000
0.029000	5184091548621102143573342513568359181883716553588891893689745408.000000	32134826986999916973748904741929860132487782932939075867377664.000000
0.029100	649374071588247552758959666518749732015564177370394740066877440.000000	63019284580168803047343247358534840596707854998120816669884416.000000
0.029200	-12209071019451823163321376272326089522585450755812751254744989696.000000	103759200091916527316449338696409847543356500993998468180606976.000000
0.029300	-38912683963372710689873768000918216874997404608244346844308570112.000000	143173135525506487305789847572440037112737384266912722713575424.000000
0.029400	-84954038849258562305712413322409159326917471701156513457918443520.000000	151588253638588282550683193184700223649030087433904670730354688.000000
0.029500	-151932441211155560495569564056427125153407878594464466435770941440.000000	69343331226750624813953175052678464320691744568006050586820608.000000
0.029600	-229684152388043585461117106572750975523520580408917743724507693056.000000	-203843005946437900241778648925320016670805689877779824674603008.000000
0.029700	-282918589644220548625315319010230444050759698093123736197627117568.000000	-809753535471385856338204108255030553357455494963254134472441856.000000
0.029800	-232102682106107047953456377837764236757589271674633349596304113664.000000	-1905263223566462206856767661553934571736808866943395980004818944.000000
0.029900	68117705259361277315728464494308112026640614460105831246345535488.000000	-3579599992683224395012275703367736146387591934695108543686639616.000000
0.030000	842250080926434115323629919309226691472410455117128029777338302464.000000	-5674938102153237918617397670938801851855436606702601847617617920.000000
0.030100	2375466385927707546566742135610517500242498381849974137100120883200.000000	-7467086747402275107592920303557953556798963573935919484085731328.000000
0.030200	4920887119106394379350116058848517533874961149735579403204933189632.000000	-7185127660512645202684824257099994593264768228031539238091620352.000000
0.030300	8468158348007529876988336886795565506881671620261379190118114394112.000000	-1423984283528062392840094558146696612435115867600399147185733632.000000
